Gone Girl,Gillian Flynn,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=864604E2-0146-46EF-A96D-D9977DC15263,format420
Defending Jacob,William Landay,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=F92E73B1-319A-4F50-AB0A-5DF058D2E1C5,format420
The Racketeer,John Grisham,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=39FF0AEE-B40F-4693-9586-2F5157A3E4DC,format420
Fifty Shades of Grey,E L James,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=82CDD641-857A-45CA-8775-34EEDE35B238,format420
Fifty Shades Freed,E L James,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=67AAFEF1-3292-4DC0-B6C5-0D35F466C511,format420
Fifty Shades Darker,E L James,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=06FDEC1D-D5D6-46F9-ABF3-0525DA902111,format420
Wild,Cheryl Strayed,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=120ECBB8-78B3-4056-BD5E-C0666DEB1FA8,format420
The Night Circus,Erin Morgenstern,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=DB32BE0A-D1DF-46B2-8156-42B510DE2592,format420
Cloud Atlas,David Mitchell,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=00659B28-5E1F-44A7-9572-B0093C880281,format420
The Paris Wife,Paula McLain,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=7A98EB78-EA8A-44FF-9CFE-670F48D26DDB,format420
Sweet Tooth,Ian McEwan,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=7FE21AB2-B80E-4D5C-9AC8-166CB76E5B45,format420
Unbroken,Laura Hillenbrand,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=7BF6EAAD-0CFB-4C83-97C4-88DB64D89FA9,format420
The Power of Habit,Charles Duhigg,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=680C7830-B7C7-4D65-BB5F-A37C8C934A24,format420
A Game of Thrones,George R.R. Martin,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=0D85564B-A4B3-43D5-875D-1DF3CA06AE65,format420
Dark Places,Gillian Flynn,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=C536C301-F5F9-4819-982D-57D5114506A4,format420
Notorious Nineteen,Janet Evanovich,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=A5844B02-C631-41A7-BEDA-78AAE24C820B,format420
The Language of Flowers,Vanessa Diffenbaugh,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=5C792B49-0770-4878-B385-282A43C38F18,format420
The Tiger's Wife,Tea Obreht,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=0E6D32DB-EFFC-462D-B4BA-1B6DC100115D,format420
The Round House,Louise Erdrich,http://digital.minlib.net/5BCFCE90-489E-4FC4-BB83-F9EE12D1250C/10/50/en/ContentDetails.htm?id=BD82D604-5606-497A-9900-0DF560B5D8AA,format420
